met1,met2,speed,time
4047.9,4048.9,3841.6,0:0:2.26
4390.1,4391.1,4838.7,0:0:2.35
4321.6,4332.4,4320.6,0:0:2.40
4654.0,4655.0,4653.0,0:0:2.43
4253.2,4254.2,4183.8,0:0:2.46
4184.8,4185.8,4643.2,0:0:2.48
4546.5,4547.5,4076.2,0:0:2.53
4624.7,4625.7,4134.9,0:0:2.61
4155.4,4136.9,4154.4,0:0:2.64
4614.9,4615.9,4134.9,0:0:2.69
4106.6,4156.4,4105.6,0:0:2.74
4438.9,4439.9,4144.7,0:0:2.79
4458.5,4127.1,4457.5,0:0:2.84
4233.6,4195.5,4232.6,0:0:2.90
4409.6,4234.6,4408.6,0:0:2.92
4507.4,4410.6,4506.4,0:0:2.95
4507.4,4508.4,4506.4,0:0:2.96
4507.4,4508.4,4535.7,0:0:2.97
4536.7,4537.7,4115.3,0:0:2.99
4145.7,4146.7,4144.7,0:0:3.03
4223.9,4224.9,4222.9,0:0:3.07
4263.0,4264.0,4262.0,0:0:3.14
4526.9,4498.6,4525.9,0:0:3.19
4038.1,4039.1,4164.2,0:0:3.25
4165.2,4166.2,4154.4,0:0:3.28
4292.3,4293.3,4594.3,0:0:3.32
4595.3,4293.3,4594.3,0:0:3.33
4595.3,4596.3,4594.3,0:0:3.34
4194.5,4596.3,4193.5,0:0:3.36
4194.5,4195.5,4174.0,0:0:3.37
4175.0,4176.0,4174.0,0:0:3.39
4175.0,4176.0,4506.4,0:0:3.40
4507.4,4176.0,4506.4,0:0:3.42
4507.4,4508.4,4134.9,0:0:3.49
4135.9,4508.4,4134.9,0:0:3.52
4135.9,4136.9,4134.9,0:0:3.55
4135.9,4136.9,4007.8,0:0:3.59
4292.3,4557.2,4291.3,0:0:3.65
4223.9,4645.2,4222.9,0:0:3.73
4194.5,4195.5,4662.8,0:0:3.79
4233.6,4293.3,4232.6,0:0:3.83
4233.6,4205.3,4232.6,0:0:3.93
4605.1,4606.1,4183.8,0:0:3.99
4184.8,4185.8,4154.4,0:0:4.01
4155.4,4156.4,4565.0,0:0:4.03
4566.0,4156.4,4565.0,0:0:4.04
4566.0,4567.0,4565.0,0:0:4.05
4116.3,4117.3,4525.9,0:0:4.08
4526.9,4527.9,4525.9,0:0:4.10
4184.8,4156.4,4183.8,0:0:4.14
4184.8,4185.8,4555.2,0:0:4.15
4556.2,4557.2,4144.7,0:0:4.18
4370.5,4371.5,4428.2,0:0:4.22
4155.4,4430.2,4154.4,0:0:4.25
4106.6,4107.6,4105.6,0:0:4.28
4106.6,4107.6,4183.8,0:0:4.29
4184.8,4107.6,4183.8,0:0:4.32
4184.8,4185.8,4183.8,0:0:4.35
4184.8,4185.8,4183.8,0:0:4.39
4184.8,4185.8,4183.8,0:0:4.42
4184.8,4185.8,4183.8,0:0:4.45
4253.2,4322.6,4252.2,0:0:4.52
4712.6,4254.2,4711.6,0:0:4.55
4243.4,4713.6,4242.4,0:0:4.57
4243.4,4244.4,4242.4,0:0:4.59
4243.4,4244.4,4418.4,0:0:4.62
4419.4,4244.4,4418.4,0:0:4.65
4419.4,4420.4,4418.4,0:0:4.69
4419.4,4420.4,4164.2,0:0:4.72
4311.9,4312.9,4584.6,0:0:4.84
4585.6,4586.6,4174.0,0:0:4.86
4165.2,4176.0,4164.2,0:0:4.89
4566.0,4166.2,4565.0,0:0:4.91
4194.5,4195.5,4193.5,0:0:4.94
4223.9,4224.9,4574.8,0:0:4.97
4135.9,4576.8,4134.9,0:0:5.00
4223.9,4224.9,4222.9,0:0:5.05
4624.7,4625.7,4623.7,0:0:5.07
4184.8,4185.8,4183.8,0:0:5.11
4184.8,4185.8,4183.8,0:0:5.16
4399.8,4136.9,4398.8,0:0:5.19
4546.5,4400.8,4545.5,0:0:5.21
4546.5,4547.5,4545.5,0:0:5.26
4087.0,4156.4,4086.0,0:0:5.32
4184.8,4185.8,4281.5,0:0:5.38
4526.9,4527.9,4525.9,0:0:5.43
4419.4,4195.5,4418.4,0:0:5.49
4175.0,4176.0,4105.6,0:0:5.55
4438.9,4107.6,4437.9,0:0:5.57
4497.6,4498.6,4496.6,0:0:5.60
4517.1,4527.9,4516.1,0:0:5.66
4517.1,4518.1,4105.6,0:0:5.68
4116.3,4107.6,4115.3,0:0:5.71
4116.3,4117.3,4174.0,0:0:5.72
4204.3,4224.9,4203.3,0:0:5.77
4536.7,4117.3,4535.7,0:0:5.88
4536.7,4537.7,4535.7,0:0:5.89
4614.9,4332.4,4613.9,0:0:5.94
4126.1,4127.1,4701.9,0:0:6.02
4702.9,4127.1,4701.9,0:0:6.03
4546.5,4576.8,4545.5,0:0:6.11
4165.2,4166.2,4164.2,0:0:6.14
4536.7,4166.2,4535.7,0:0:6.18
4233.6,4195.5,4232.6,0:0:6.24
4546.5,4547.5,4545.5,0:0:6.26
4253.2,4547.5,4252.2,0:0:6.28
4253.2,4254.2,4252.2,0:0:6.29
4126.1,4127.1,4125.1,0:0:6.38
4575.8,4576.8,4095.8,0:0:6.43
4116.3,4097.8,4115.3,0:0:6.45
4605.1,4606.1,4105.6,0:0:6.51
4106.6,4107.6,4105.6,0:0:6.53
4106.6,4107.6,4565.0,0:0:6.53
4126.1,4127.1,4125.1,0:0:6.59
4038.1,4127.1,4037.1,0:0:6.61
4038.1,4039.1,4037.1,0:0:6.62
4214.1,4195.5,4213.1,0:0:6.67
4214.1,4215.1,4477.0,0:0:6.69
4478.0,4215.1,4477.0,0:0:6.70
4438.9,4439.9,4516.1,0:0:6.77
4184.8,4185.8,4183.8,0:0:6.85
4184.8,4185.8,4242.4,0:0:6.86
4575.8,4576.8,4574.8,0:0:6.94
4644.2,4136.9,4643.2,0:0:7.01
4204.3,4205.3,4447.7,0:0:7.09
4263.0,4264.0,4262.0,0:0:7.15
4263.0,4264.0,4262.0,0:0:7.16
4253.2,4254.2,4252.2,0:0:7.22
4458.5,4664.8,4457.5,0:0:7.30
4458.5,4459.5,4457.5,0:0:7.31
4556.2,4557.2,4105.6,0:0:7.37
4175.0,4176.0,4174.0,0:0:7.53
4566.0,4567.0,4144.7,0:0:7.68
4575.8,4625.7,4574.8,0:0:7.76
4175.0,4176.0,4174.0,0:0:7.83
4595.3,4176.0,4594.3,0:0:7.84
4194.5,4224.9,4193.5,0:0:7.90
4214.1,4234.6,4213.1,0:0:7.98
4214.1,4215.1,4213.1,0:0:7.99
4243.4,4244.4,4242.4,0:0:8.06
4243.4,4244.4,4437.9,0:0:8.06
4243.4,4557.2,4242.4,0:0:8.13
4526.9,4488.8,4525.9,0:0:8.21
4526.9,4527.9,4525.9,0:0:8.22
4497.6,4498.6,4496.6,0:0:8.28
4448.7,4498.6,4447.7,0:0:8.30
4478.0,4117.3,4477.0,0:0:8.36
4233.6,4244.4,4232.6,0:0:8.44
4223.9,4224.9,4203.3,0:0:8.51
4184.8,4185.8,4183.8,0:0:8.59
4184.8,4185.8,4516.1,0:0:8.60
4497.6,4498.6,4115.3,0:0:8.66
4585.6,4586.6,4584.6,0:0:8.74
4487.8,4488.8,4398.8,0:0:8.82
4399.8,4488.8,4398.8,0:0:8.83
4614.9,4615.9,4174.0,0:0:8.99
4243.4,4244.4,4242.4,0:0:9.02
4575.8,4567.0,4574.8,0:0:9.08
4184.8,4185.8,4164.2,0:0:9.11
4165.2,4166.2,4643.2,0:0:9.14
4204.3,4205.3,4203.3,0:0:9.19
4116.3,4117.3,4115.3,0:0:9.21
4116.3,4117.3,4203.3,0:0:9.22
4233.6,4244.4,4232.6,0:0:9.27
4585.6,4234.6,4584.6,0:0:9.29
4585.6,4586.6,4584.6,0:0:9.31
4536.7,4107.6,4535.7,0:0:9.36
4419.4,4537.7,4418.4,0:0:9.38
4175.0,4420.4,4174.0,0:0:9.40
4536.7,4537.7,4174.0,0:0:9.44
4175.0,4176.0,4095.8,0:0:9.46
4458.5,4097.8,4457.5,0:0:9.49
4478.0,4459.5,4477.0,0:0:9.52
4155.4,4479.0,4154.4,0:0:9.54
4194.5,4195.5,4213.1,0:0:9.61
4214.1,4215.1,4623.7,0:0:9.64
4223.9,4224.9,4222.9,0:0:9.67
4223.9,4224.9,4467.3,0:0:9.68
4566.0,4498.6,4565.0,0:0:9.73
4116.3,4567.0,4115.3,0:0:9.75
4116.3,4479.0,4115.3,0:0:9.82
4507.4,4508.4,4506.4,0:0:9.87
4155.4,4156.4,4037.1,0:0:9.90
4468.3,4039.1,4467.3,0:0:9.93
4165.2,4166.2,4457.5,0:0:10.01
4214.1,4459.5,4213.1,0:0:10.03
4116.3,4117.3,4115.3,0:0:10.06
4184.8,4459.5,4183.8,0:0:10.12
4116.3,4185.8,4115.3,0:0:10.14
4116.3,4117.3,4115.3,0:0:10.15
4243.4,4234.6,4242.4,0:0:10.20
4536.7,4244.4,4535.7,0:0:10.23
4194.5,4195.5,4565.0,0:0:10.28
4566.0,4567.0,4183.8,0:0:10.31
4214.1,4215.1,4213.1,0:0:10.34
4517.1,4518.1,4516.1,0:0:10.36
4292.3,4293.3,4164.2,0:0:10.40
4165.2,4293.3,4164.2,0:0:10.40
4644.2,4645.2,4643.2,0:0:10.45
4145.7,4146.7,4428.2,0:0:10.48
4429.2,4430.2,4330.4,0:0:10.51
4126.1,4156.4,4125.1,0:0:10.56
4536.7,4537.7,4535.7,0:0:10.59
4175.0,4176.0,4213.1,0:0:10.61
4438.9,4439.9,4437.9,0:0:10.67
4126.1,4127.1,4467.3,0:0:10.70
4468.3,4469.3,4144.7,0:0:10.72
4194.5,4195.5,4545.5,0:0:10.78
4546.5,4547.5,4174.0,0:0:10.81
4214.1,4176.0,4213.1,0:0:10.84
4399.8,4400.8,4398.8,0:0:10.86
4399.8,4400.8,4174.0,0:0:10.88
4175.0,4205.3,4174.0,0:0:10.92
4605.1,4176.0,4604.1,0:0:10.95
4204.3,4205.3,4203.3,0:0:10.98
4331.4,4332.4,4330.4,0:0:11.00
4546.5,4547.5,4154.4,0:0:11.03
4546.5,4547.5,4545.5,0:0:11.08
4175.0,4176.0,4174.0,0:0:11.11
4087.0,4088.0,4682.3,0:0:11.14
4409.6,4684.3,4408.6,0:0:11.16
4096.8,4097.8,4662.8,0:0:11.22
4663.8,4664.8,4164.2,0:0:11.24
4194.5,4195.5,4193.5,0:0:11.28
4517.1,4518.1,4516.1,0:0:11.30
4175.0,4176.0,4115.3,0:0:11.33
4116.3,4117.3,4613.9,0:0:11.35
4497.6,4615.9,4496.6,0:0:11.38
4135.9,4136.9,4134.9,0:0:11.41
4468.3,4469.3,4467.3,0:0:11.43
4566.0,4537.7,4565.0,0:0:11.53
4155.4,4156.4,4486.8,0:0:11.57
4487.8,4156.4,4486.8,0:0:11.58
4194.5,4195.5,4193.5,0:0:11.63
4331.4,4332.4,4330.4,0:0:11.65
4566.0,4567.0,4154.4,0:0:11.68
4145.7,4156.4,4144.7,0:0:11.71
4145.7,4146.7,4144.7,0:0:11.72
4145.7,4146.7,4164.2,0:0:11.73
4155.4,4156.4,4565.0,0:0:11.77
4566.0,4567.0,4565.0,0:0:11.78
4566.0,4567.0,4115.3,0:0:11.80
4566.0,4567.0,4565.0,0:0:11.85
4155.4,4156.4,4154.4,0:0:11.88
4595.3,4508.4,4594.3,0:0:11.93
4145.7,4596.3,4144.7,0:0:11.95
4360.7,4361.7,4486.8,0:0:11.99
4135.9,4136.9,4477.0,0:0:12.03
4175.0,4176.0,4330.4,0:0:12.11
4497.6,4332.4,4496.6,0:0:12.14
4497.6,4498.6,4134.9,0:0:12.16
4126.1,4136.9,4125.1,0:0:12.19
4556.2,4557.2,4555.2,0:0:12.22
4175.0,4176.0,4174.0,0:0:12.24
4497.6,4498.6,4134.9,0:0:12.37
4253.2,4234.6,4252.2,0:0:12.49
4556.2,4567.0,4555.2,0:0:12.53
4204.3,4205.3,4203.3,0:0:12.58
4536.7,4547.5,4535.7,0:0:12.61
4155.4,4537.7,4154.4,0:0:12.64
4517.1,4518.1,4301.1,0:0:12.69
4302.1,4303.1,4154.4,0:0:12.71
4155.4,4303.1,4154.4,0:0:12.72
4605.1,4606.1,4134.9,0:0:12.78
4135.9,4136.9,4134.9,0:0:12.79
4135.9,4136.9,4604.1,0:0:12.80
4135.9,4136.9,4134.9,0:0:12.86
4038.1,4039.1,4037.1,0:0:12.88
4370.5,4635.4,4369.5,0:0:12.92
4370.5,4371.5,4350.0,0:0:12.93
4468.3,4352.0,4467.3,0:0:12.96
4116.3,4117.3,4115.3,0:0:12.99
4067.5,4068.5,4066.5,0:0:13.01
4448.7,4606.1,4447.7,0:0:13.05
4116.3,4449.7,4115.3,0:0:13.07
4458.5,4459.5,4457.5,0:0:13.10
4194.5,4166.2,4193.5,0:0:13.15
4253.2,4254.2,4252.2,0:0:13.21
4546.5,4547.5,4174.0,0:0:13.26
4204.3,4205.3,4203.3,0:0:13.29
4497.6,4205.3,4496.6,0:0:13.31
4321.6,4322.6,4320.6,0:0:13.34
4145.7,4146.7,4144.7,0:0:13.36
4331.4,4606.1,4330.4,0:0:13.42
4126.1,4127.1,4125.1,0:0:13.44
4614.9,4488.8,4613.9,0:0:13.48
4106.6,4615.9,4105.6,0:0:13.50
4468.3,4469.3,4115.3,0:0:13.56
4116.3,4469.3,4115.3,0:0:13.57
4556.2,4557.2,4125.1,0:0:13.64
4126.1,4127.1,4496.6,0:0:13.67
4487.8,4498.6,4486.8,0:0:13.70
4126.1,4127.1,4125.1,0:0:13.73
4087.0,4088.0,4086.0,0:0:13.75
4595.3,4596.3,4125.1,0:0:13.78
4126.1,4127.1,4447.7,0:0:13.80
4566.0,4567.0,4565.0,0:0:13.85
4106.6,4107.6,4105.6,0:0:13.88
4429.2,4430.2,4291.3,0:0:13.91
4135.9,4293.3,4134.9,0:0:13.94
4028.4,4136.9,4027.4,0:0:13.96
4644.2,4645.2,4643.2,0:0:13.99
4233.6,4234.6,4545.5,0:0:14.04
4135.9,4547.5,4134.9,0:0:14.07
4263.0,4264.0,4262.0,0:0:14.11
4155.4,4615.9,4154.4,0:0:14.15
4536.7,4156.4,4535.7,0:0:14.19
4184.8,4185.8,4183.8,0:0:14.22
4605.1,4567.0,4604.1,0:0:14.28
4487.8,4488.8,4486.8,0:0:14.33
4175.0,4254.2,4174.0,0:0:14.37
4087.0,4176.0,4086.0,0:0:14.39
4302.1,4303.1,4144.7,0:0:14.44
4077.2,4078.2,4076.2,0:0:14.48
4360.7,4361.7,4164.2,0:0:14.53
4507.4,4107.6,4506.4,0:0:14.58
4204.3,4205.3,4134.9,0:0:14.63
4566.0,4567.0,4565.0,0:0:14.69
4233.6,4234.6,4437.9,0:0:14.73
4614.9,4537.7,4613.9,0:0:14.78
4155.4,4615.9,4154.4,0:0:14.80
4360.7,4361.7,4477.0,0:0:14.84
4478.0,4361.7,4477.0,0:0:14.85
4135.9,4136.9,4134.9,0:0:14.88
4507.4,4508.4,4506.4,0:0:14.90
4135.9,4136.9,4095.8,0:0:14.93
4526.9,4527.9,4525.9,0:0:14.97
4155.4,4156.4,4154.4,0:0:14.99
4517.1,4058.7,4516.1,0:0:15.03
4517.1,4518.1,4174.0,0:0:15.04
4194.5,4176.0,4193.5,0:0:15.07
4194.5,4195.5,4389.1,0:0:15.09
4390.1,4391.1,4389.1,0:0:15.11
4106.6,4146.7,4105.6,0:0:15.14
4673.5,4107.6,4672.5,0:0:15.16
4673.5,4674.5,4672.5,0:0:15.18
4673.5,4674.5,4017.6,0:0:15.21
4018.6,4674.5,4017.6,0:0:15.24
4018.6,4019.6,4017.6,0:0:15.28
4018.6,4019.6,3812.3,0:0:15.31
3813.3,3814.3,3812.3,0:0:15.38
3813.3,3814.3,3695.0,0:0:15.41
3696.0,3814.3,3695.0,0:0:15.44
3696.0,3697.0,3695.0,0:0:15.48
3696.0,3697.0,3607.0,0:0:15.51
4487.8,4488.8,4486.8,0:0:15.56
4644.2,4821.2,4643.2,0:0:15.62
4351.0,4713.6,4350.0,0:0:15.72
4194.5,4576.8,4193.5,0:0:15.82
4331.4,4332.4,4613.9,0:0:15.87
4243.4,4244.4,4242.4,0:0:15.93
4292.3,4293.3,4604.1,0:0:15.95
4605.1,4606.1,4604.1,0:0:15.97
4184.8,4185.8,4183.8,0:0:15.99
4526.9,4527.9,4525.9,0:0:16.02
4116.3,4117.3,4115.3,0:0:16.04
4585.6,4586.6,4584.6,0:0:16.09
4155.4,4156.4,4486.8,0:0:16.12
4487.8,4488.8,4486.8,0:0:16.13
4155.4,4156.4,4154.4,0:0:16.18
4497.6,4498.6,4496.6,0:0:16.20
4145.7,4146.7,4144.7,0:0:16.22
4165.2,4166.2,4125.1,0:0:16.30
4126.1,4166.2,4125.1,0:0:16.31
4126.1,4127.1,4193.5,0:0:16.32
4214.1,4234.6,4213.1,0:0:16.39
4214.1,4215.1,4213.1,0:0:16.40
4214.1,4215.1,4232.6,0:0:16.41
4341.2,4342.2,4623.7,0:0:16.47
4624.7,4342.2,4623.7,0:0:16.48
4292.3,4293.3,4653.0,0:0:16.56
4654.0,4655.0,4653.0,0:0:16.58
4556.2,4557.2,4164.2,0:0:16.62
4595.3,4224.9,4594.3,0:0:16.71
4595.3,4596.3,4594.3,0:0:16.72
4429.2,4166.2,4428.2,0:0:16.78
4429.2,4430.2,4428.2,0:0:16.79
4429.2,4430.2,4134.9,0:0:16.80
4233.6,4234.6,4232.6,0:0:16.93
4184.8,4410.6,4183.8,0:0:17.00
4438.9,4439.9,4506.4,0:0:17.16
4507.4,4439.9,4506.4,0:0:17.17
4429.2,4430.2,4428.2,0:0:17.23
4429.2,4430.2,4203.3,0:0:17.24
4204.3,4430.2,4203.3,0:0:17.25
4517.1,4518.1,4174.0,0:0:17.31
4175.0,4518.1,4174.0,0:0:17.32
4575.8,4567.0,4574.8,0:0:17.40
4175.0,4205.3,4174.0,0:0:17.46
4253.2,4254.2,4486.8,0:0:17.53
4233.6,4234.6,4232.6,0:0:17.61
4233.6,4234.6,4555.2,0:0:17.62
4204.3,4205.3,4203.3,0:0:17.70
4448.7,4449.7,4447.7,0:0:17.76
4370.5,4127.1,4369.5,0:0:17.91
4243.4,4244.4,4242.4,0:0:18.00
4585.6,4586.6,4144.7,0:0:18.06
4145.7,4586.6,4144.7,0:0:18.07
4458.5,4459.5,4457.5,0:0:18.22
4214.1,4215.1,4594.3,0:0:18.29
4595.3,4215.1,4594.3,0:0:18.30
