met1,met2,speed,time
3568.9,3609.0,3567.9,0:0:0.09
3568.9,3569.9,3519.1,0:0:0.23
3520.1,3569.9,3519.1,0:0:0.31
3520.1,3521.1,3519.1,0:0:0.40
3520.1,3521.1,3480.0,0:0:0.49
3481.0,3521.1,3480.0,0:0:0.58
3481.0,3482.0,3480.0,0:0:0.66
3481.0,3482.0,3460.4,0:0:0.75
3461.4,3482.0,3460.4,0:0:0.84
3461.4,3462.4,3460.4,0:0:0.93
3461.4,3462.4,3460.4,0:0:1.01
3461.4,3462.4,3460.4,0:0:1.10
3461.4,3462.4,3460.4,0:0:1.19
3461.4,3462.4,3460.4,0:0:1.27
3461.4,3462.4,3460.4,0:0:1.36
3461.4,3462.4,3460.4,0:0:1.45
3461.4,3462.4,3450.6,0:0:1.54
3451.6,3462.4,3450.6,0:0:1.62
3451.6,3452.6,3450.6,0:0:1.71
3451.6,3452.6,3460.4,0:0:1.80
3461.4,3452.6,3460.4,0:0:1.89
3461.4,3462.4,3460.4,0:0:1.97
3461.4,3462.4,3460.4,0:0:2.06
3461.4,3462.4,3460.4,0:0:2.15
3461.4,3462.4,3460.4,0:0:2.24
3461.4,3462.4,3450.6,0:0:2.32
3451.6,3462.4,3450.6,0:0:2.41
3451.6,3452.6,3450.6,0:0:2.50
3451.6,3452.6,3460.4,0:0:2.59
3461.4,3452.6,3460.4,0:0:2.67
3461.4,3462.4,3460.4,0:0:2.76
3461.4,3462.4,3460.4,0:0:2.85
3461.4,3462.4,3460.4,0:0:2.93
3481.0,3462.4,3480.0,0:0:3.13
3481.0,3482.0,3509.3,0:0:3.26
3510.3,3482.0,3509.3,0:0:3.35
3510.3,3511.3,3509.3,0:0:3.44
3510.3,3511.3,3480.0,0:0:3.53
3481.0,3511.3,3480.0,0:0:3.61
3481.0,3482.0,3480.0,0:0:3.70
3481.0,3482.0,3470.2,0:0:3.79
3471.2,3482.0,3470.2,0:0:3.87
3471.2,3472.2,3470.2,0:0:3.96
3471.2,3472.2,3460.4,0:0:4.05
3461.4,3472.2,3460.4,0:0:4.14
3461.4,3462.4,3460.4,0:0:4.22
3461.4,3462.4,3460.4,0:0:4.31
3461.4,3462.4,3460.4,0:0:4.40
3461.4,3462.4,3460.4,0:0:4.49
3461.4,3462.4,3460.4,0:0:4.57
3461.4,3462.4,3460.4,0:0:4.66
3461.4,3462.4,3460.4,0:0:4.75
3461.4,3462.4,3460.4,0:0:4.84
3461.4,3462.4,3460.4,0:0:4.92
3461.4,3462.4,3460.4,0:0:5.01
3461.4,3462.4,3460.4,0:0:5.10
3461.4,3462.4,3460.4,0:0:5.18
3461.4,3462.4,3460.4,0:0:5.27
3461.4,3462.4,3460.4,0:0:5.36
3461.4,3462.4,3460.4,0:0:5.45
3461.4,3462.4,3460.4,0:0:5.53
3461.4,3462.4,3450.6,0:0:5.62
3451.6,3462.4,3450.6,0:0:5.71
3451.6,3452.6,3450.6,0:0:5.80
3451.6,3452.6,3460.4,0:0:5.88
3461.4,3452.6,3460.4,0:0:5.97
3461.4,3462.4,3480.0,0:0:6.11
3481.0,3462.4,3480.0,0:0:6.20
3481.0,3482.0,3480.0,0:0:6.28
3481.0,3482.0,3470.2,0:0:6.37
3471.2,3482.0,3470.2,0:0:6.46
3471.2,3472.2,3470.2,0:0:6.55
3471.2,3472.2,3460.4,0:0:6.63
3461.4,3472.2,3460.4,0:0:6.72
3461.4,3462.4,3460.4,0:0:6.81
3461.4,3462.4,3460.4,0:0:6.90
3461.4,3462.4,3460.4,0:0:6.98
3461.4,3462.4,3460.4,0:0:7.07
3461.4,3462.4,3460.4,0:0:7.16
3461.4,3462.4,3460.4,0:0:7.25
3461.4,3462.4,3460.4,0:0:7.33
3461.4,3462.4,3460.4,0:0:7.42
3461.4,3462.4,3460.4,0:0:7.51
3461.4,3462.4,3460.4,0:0:7.60
3461.4,3462.4,3460.4,0:0:7.68
3461.4,3462.4,3460.4,0:0:7.77
3461.4,3462.4,3460.4,0:0:7.86
3461.4,3462.4,3460.4,0:0:7.95
3461.4,3462.4,3460.4,0:0:8.03
3461.4,3462.4,3460.4,0:0:8.12
3461.4,3462.4,3460.4,0:0:8.21
3461.4,3462.4,3460.4,0:0:8.29
3461.4,3462.4,3480.0,0:0:8.43
3481.0,3462.4,3480.0,0:0:8.52
3481.0,3482.0,3480.0,0:0:8.61
3481.0,3482.0,3470.2,0:0:8.69
3471.2,3482.0,3470.2,0:0:8.78
3471.2,3472.2,3470.2,0:0:8.87
3471.2,3472.2,3460.4,0:0:8.96
3461.4,3472.2,3460.4,0:0:9.05
3461.4,3462.4,3460.4,0:0:9.13
3461.4,3462.4,3460.4,0:0:9.22
3461.4,3462.4,3460.4,0:0:9.31
3461.4,3462.4,3460.4,0:0:9.39
3461.4,3462.4,3460.4,0:0:9.48
3461.4,3462.4,3460.4,0:0:9.57
3461.4,3462.4,3480.0,0:0:9.71
3481.0,3462.4,3480.0,0:0:9.80
3481.0,3482.0,3480.0,0:0:9.88
3481.0,3482.0,3470.2,0:0:9.97
3471.2,3482.0,3470.2,0:0:10.06
3471.2,3472.2,3470.2,0:0:10.15
3471.2,3472.2,3460.4,0:0:10.23
3461.4,3472.2,3460.4,0:0:10.32
3461.4,3462.4,3460.4,0:0:10.41
3461.4,3462.4,3460.4,0:0:10.49
3461.4,3462.4,3460.4,0:0:10.58
3461.4,3462.4,3460.4,0:0:10.67
3461.4,3462.4,3460.4,0:0:10.76
3461.4,3462.4,3460.4,0:0:10.84
3461.4,3462.4,3460.4,0:0:10.93
3461.4,3462.4,3460.4,0:0:11.02
3461.4,3462.4,3460.4,0:0:11.11
3461.4,3462.4,3460.4,0:0:11.19
3461.4,3462.4,3460.4,0:0:11.28
3461.4,3462.4,3460.4,0:0:11.37
3461.4,3462.4,3460.4,0:0:11.46
3461.4,3462.4,3460.4,0:0:11.54
3461.4,3462.4,3460.4,0:0:11.63
3461.4,3462.4,3460.4,0:0:11.72
3461.4,3462.4,3460.4,0:0:11.81
3461.4,3462.4,3460.4,0:0:11.89
3461.4,3462.4,3460.4,0:0:11.98
3461.4,3462.4,3460.4,0:0:12.17
3500.5,3462.4,3499.5,0:0:12.31
3500.5,3501.5,3499.5,0:0:12.40
3500.5,3501.5,3489.7,0:0:12.48
3490.7,3501.5,3489.7,0:0:12.57
3490.7,3491.7,3489.7,0:0:12.66
3490.7,3491.7,3470.2,0:0:12.74
3471.2,3472.2,3470.2,0:0:12.88
3471.2,3472.2,3480.0,0:0:12.97
3481.0,3472.2,3480.0,0:0:13.06
3481.0,3482.0,3480.0,0:0:13.15
3481.0,3482.0,3470.2,0:0:13.23
3471.2,3482.0,3470.2,0:0:13.32
3471.2,3472.2,3470.2,0:0:13.41
