speed,met1,met2,time
4018.6,3912.1,4017.6,0:0:24.40
4018.6,4019.6,4017.6,0:0:24.43
4018.6,4019.6,3929.6,0:0:24.45
3930.6,4019.6,3929.6,0:0:24.48
3930.6,3931.6,3929.6,0:0:24.51
3930.6,3931.6,3626.6,0:0:24.53
3627.6,3931.6,3626.6,0:0:24.56
3627.6,3628.6,3626.6,0:0:24.59
3627.6,3628.6,3460.4,0:0:24.61
3461.4,3628.6,3460.4,0:0:24.64
3461.4,3462.4,3528.8,0:0:24.70
3529.8,3462.4,3528.8,0:0:24.72
3529.8,3530.8,3528.8,0:0:24.75
3549.4,3530.8,3548.4,0:0:24.80
3549.4,3550.4,3548.4,0:0:24.83
3999.0,3550.4,3998.0,0:0:24.87
3999.0,4000.0,4017.6,0:0:24.92
4018.6,4019.6,4017.6,0:0:24.97
3510.3,3511.3,3509.3,0:0:25.04
3539.6,3511.3,3538.6,0:0:25.08
3539.6,3540.6,3558.2,0:0:25.13
3559.2,3560.2,3558.2,0:0:25.18
3764.4,3765.4,3763.4,0:0:25.25
3764.4,3765.4,3616.8,0:0:25.28
3617.8,3618.8,3616.8,0:0:25.32
3617.8,3618.8,3919.8,0:0:25.35
3920.8,3618.8,3919.8,0:0:25.38
3920.8,3921.8,3919.8,0:0:25.41
3920.8,3921.8,3480.0,0:0:25.43
3481.0,3921.8,3480.0,0:0:25.46
3481.0,3482.0,3480.0,0:0:25.49
3481.0,3482.0,3558.2,0:0:25.51
3559.2,3482.0,3558.2,0:0:25.54
3559.2,3560.2,4086.0,0:0:25.59
4087.0,4088.0,3861.2,0:0:25.66
3862.2,4088.0,3861.2,0:0:25.68
3862.2,3863.2,3861.2,0:0:25.71
3862.2,3863.2,4007.8,0:0:25.74
4008.8,4009.8,4007.8,0:0:25.79
4008.8,4009.8,3489.7,0:0:25.81
3490.7,4009.8,3489.7,0:0:25.84
3490.7,3491.7,3538.6,0:0:25.89
3539.6,3540.6,3538.6,0:0:25.94
3539.6,3540.6,3998.0,0:0:25.97
3999.0,3540.6,3998.0,0:0:26.00
3999.0,4000.0,3538.6,0:0:26.04
3539.6,3540.6,3538.6,0:0:26.09
3969.7,3540.6,3968.7,0:0:26.14
3999.0,4000.0,3607.0,0:0:26.25
3608.0,3609.0,3607.0,0:0:26.30
3588.5,3589.5,3587.5,0:0:26.37
3588.5,3589.5,3597.3,0:0:26.39
3598.3,3589.5,3597.3,0:0:26.42
3598.3,3599.3,3597.3,0:0:26.45
3598.3,3599.3,3655.9,0:0:26.47
3656.9,3599.3,3655.9,0:0:26.50
3656.9,3657.9,3655.9,0:0:26.53
3656.9,3657.9,4046.9,0:0:26.56
4047.9,4048.9,4046.9,0:0:26.60
4047.9,4048.9,3509.3,0:0:26.63
3510.3,4048.9,3509.3,0:0:26.66
3510.3,3511.3,3509.3,0:0:26.68
3510.3,3511.3,3548.4,0:0:26.71
