speed,met1,met2,time
3647.1,3648.1,3607.0,0:0:7.04
3608.0,3648.1,3607.0,0:0:7.06
3608.0,3609.0,3714.6,0:0:7.11
3715.6,3716.6,3548.4,0:0:7.19
3549.4,3716.6,3548.4,0:0:7.21
3549.4,3550.4,3548.4,0:0:7.24
3549.4,3550.4,3567.9,0:0:7.27
3568.9,3550.4,3567.9,0:0:7.30
3568.9,3569.9,4105.6,0:0:7.34
4106.6,4107.6,4105.6,0:0:7.39
3520.1,3521.1,3519.1,0:0:7.46
3500.5,3521.1,3499.5,0:0:7.51
3500.5,3501.5,3890.5,0:0:7.55
3891.5,3892.5,4017.6,0:0:7.62
4018.6,3892.5,4017.6,0:0:7.65
4018.6,4019.6,4017.6,0:0:7.68
4018.6,4019.6,3773.2,0:0:7.70
3774.2,4019.6,3773.2,0:0:7.73
3774.2,3775.2,3470.2,0:0:7.79
3471.2,3775.2,3470.2,0:0:7.81
3471.2,3472.2,3470.2,0:0:7.84
3471.2,3472.2,3528.8,0:0:7.87
3529.8,3472.2,3528.8,0:0:7.89
3529.8,3530.8,3528.8,0:0:7.92
3529.8,3530.8,3548.4,0:0:7.95
3549.4,3550.4,3548.4,0:0:8.00
4008.8,3550.4,4007.8,0:0:8.04
4008.8,4009.8,4007.8,0:0:8.07
4008.8,4009.8,3538.6,0:0:8.10
3539.6,4009.8,3538.6,0:0:8.13
3539.6,3540.6,3538.6,0:0:8.15
3539.6,3540.6,3558.2,0:0:8.18
3559.2,3540.6,3558.2,0:0:8.21
3559.2,3560.2,3558.2,0:0:8.23
3559.2,3560.2,3988.3,0:0:8.26
3989.3,3560.2,3988.3,0:0:8.29
3989.3,3990.3,3988.3,0:0:8.31
4028.4,3990.3,4027.4,0:0:8.36
4028.4,4029.4,4027.4,0:0:8.39
3490.7,4029.4,3489.7,0:0:8.44
3490.7,3491.7,3489.7,0:0:8.46
3490.7,3491.7,3998.0,0:0:8.49
3999.0,3491.7,3998.0,0:0:8.52
3999.0,4000.0,3998.0,0:0:8.55
3999.0,4000.0,3978.5,0:0:8.57
3979.5,4000.0,3978.5,0:0:8.60
3979.5,3980.5,3978.5,0:0:8.63
3979.5,3980.5,3919.8,0:0:8.65
3920.8,3980.5,3919.8,0:0:8.69
3920.8,3921.8,3880.7,0:0:8.75
3881.7,3921.8,3880.7,0:0:8.79
3911.1,3912.1,3841.6,0:0:8.87
3842.6,3912.1,3841.6,0:0:8.90
3842.6,3843.6,3841.6,0:0:8.93
3432.1,3843.6,3431.1,0:0:8.97
3432.1,3433.1,3431.1,0:0:9.00
3832.9,3433.1,3831.9,0:0:9.05
3559.2,3833.9,3558.2,0:0:9.12
3559.2,3560.2,3577.7,0:0:9.16
3578.7,3579.7,3577.7,0:0:9.21
4008.8,3579.7,4007.8,0:0:9.26
4057.7,4009.8,4056.7,0:0:9.33
4057.7,4058.7,4056.7,0:0:9.36
4057.7,4058.7,3519.1,0:0:9.38
3520.1,4058.7,3519.1,0:0:9.41
3520.1,3521.1,3519.1,0:0:9.44
3520.1,3521.1,3538.6,0:0:9.46
3539.6,3521.1,3538.6,0:0:9.49
3539.6,3540.6,3538.6,0:0:9.52
3539.6,3540.6,3567.9,0:0:9.55
3568.9,3540.6,3567.9,0:0:9.57
3568.9,3569.9,3567.9,0:0:9.60
3568.9,3569.9,3958.9,0:0:9.63
3959.9,3569.9,3958.9,0:0:9.65
3959.9,3960.9,3958.9,0:0:9.68
